author,comment
ajeet singh,Sir make a complete series for freelanceing and earn money through coding👍
Anil Sundar,I respect your dedication to teach the naive graduates who have no one to look upto. Awesome content and awesome energy. Thanks a lot Harry !
funky boy,"He is actually a real coder , in my opinion
Bikwaayi + book karvaayi = bookwaayi
He is coder by heart , restep bro !!!"
Jai Lodwal,"You are truly awsum tutor and educator.. your voice , your way to teach  are like Prashant Dhawan sir of StudyIQ/World Affairs channel.. keep going Harry bhai"
David Miller,"I love this lad, the way he teaches with passion and imparting knowledge, kudos buddy"
Chanchal Tomer,"Hey Harry , your video was really interesting and helpful. Please make similar on API with postman and Rest Assured API."
Exol,I was literally waiting for this kind of video on API...i really wanted to know how it works....i think Harry Sir is angel in the world of programming....thank you sir
Aditya Sagar,I loved the fact that u didn't cared about the looks while teaching 😂.....its another level of coolness
Sreekanth Reddy Ennam,Excellent demonstration with the relevant live examples. Any layman can understand easily!
Anshika Paliwal,"Understanding API was like debugging a long lost code that you built ages ago, until I came through this. Amazing way of explanation Sir."
Veteran Programmer,About 50k views in a day in an educational video. That says enough of this teacher. He is just great than the conventional teachers.
Vijaykumar Choukimath,"Wow, brother! Am writing this comment while I am not even halfway through this video. Such a unique way of explanation, haven't seen any professor like you, Kudos."
UX Ninja,"Hi Harry , I came accross your channel recently and love the way you are explaining things, just amazing. 
Do you know flutter SDK aswell? and do you plan to do videos on that?"
saveplanet,"Such people are enabling their citizens to move forward. Very nice Harry, keep imparting quality education .👍"
Gurutej,Very well explained 👌👌..your new subscriber..☺️...I am new in programming/IT field...Can you please make video on 'solr'? And is there any connection between solr and API?
Rajesh Chopra,Beautifully explained. Could you make one on SOAP Vs. REST and their appropriate use
Milind M,Loved the way u explained with reality examples. Just amazing
Maisam Abbas,You are literally the best programming tutor on Youtube.
Rahul Chauhan,"Person like me who learn stuffs by relating with real life example
...Need a Guider like You...Thanks Bro for this explanation !!"
paresh menge,Providing information in too easy way. Love to watch and learn from you bhai.❤️❤️
Ishaan Pandita,"Thank You Harry Bhai!!!!! I have learnt so much from your videos! I am currently learning from your C++ Playlist, and am able to understand your explanations thoroughly. Thank you for helping all of us so much! All the best for the future!!!"
incessant toil,Very blessed to have people like you..🧚‍♂️ thank you for all the superb ...practical topic...where we are burried in the theory....only...theory ..only theory....only theory ONLY THEORY....ONLY...THEORY bcz of educational system..😔
Bodhisattva Dasgupta,"Dude, your explanation is AWESOME !! No doubt you are at a 1.5M+ subscribers. Keep the good work going."
S C,You are hilarious Harry !  You are too good 👍👍. I loved watching your class and understood very well 🙏🙏
Taimoor,"Hello !
I am pleased after clearing all My concepts of API.... I am Really Thankful To you Harry. I want To ask. I am Amazon Seller. I want to learn Amazon SP-API. For this Which language should i learn ??? Python Or Java ??Sir Your Answer Will be highly Valuable For me.......I am Still learning Python..."
Vincent Thakur,"Thank you, I really like the examples used in the clip, Thank you so much for explaining in such a easy way."
Jenisha Nadiyadra,"Wao what a great and easy way of explanation, we most people need people like you for explanation with real life examples. 
Thanks a lot for sharing a wonderful information."
Mallika,sir plzz complete data structure series . we r waiting for it 🙏
MSD & NSD IT LABS,Hats off to all the hard workers who are giving all the stuff for free. Thank you :)
Gidigi satish,Simply amazing way of explaining complex topics. Thank you brother
prince baweja,"Had never  commented on any video yet..
But this tym -  my mind said that I must comment and appreciate your work. 
Great Job man...  Hats off to you..🔥🔥"
Viswajit Nayak,I am mesmerized by your teaching method... ...  it is as if my friend is explaining me concepts in a chai - sutta break ... how cool is dat ... keep up the good work bro... :)
Rishabh Gupta,"Best explanation of API, clearing all the doubts 👍👍"
Virendra SINGH,"Good explanation but i think there's one more aspect of APIs you didn't mentioned is that.. API can be helpful when you are in any kind of development phase but you don't want to waste your time in some very basic coding, so you request/choose API providers for it. But i think it's just because you didn't wanted to go into deep and you wanted to keep your video simple. Please correct me if I'm wrong at any point."
Rachana A,"I am a UI designer and maine socha API simple bhasha me kitna simple ho sakta hai.... but sahi me video dekh ke mere khudke bi concepts clear hue hai... amazing talent! 
Mushkil topic ko asan kar dia.... 
sirf IT wale nahi... koi bi samajh sakega! 
thanks!!"
Nishant,Excellent teaching skills Harrybhai...Thank u so much  4 everything...U r a real HERO of YouTube
George Mendle,Thank You my Programming Teacher and Professor. Please talk about algolia search api with php.  It will help you in your website built with Django.
Nikhil Desai,Simple Explanations with proper knowledge. Thanks Buddy
Aryan Srivastava,I really can't see any active youtube channel like him who is helping us so much for our future
Shivani Sharma,"I saw many videos to understand api , but didn't get the right answer what api is. But u explained very well and used perfect example to explain. Your videos are so much helpful ❣️. Thankyou so much sir"
Vinay Davda,Salute Harrybhai ! One of the best tutors in the world. Grateful !
Amit Saw,A person with Golden Heart ❤️ with deep dive knowledge. Lots of love. 🙏🙏🙏
Vedang Sardessai,This is just the best explanation for APIs..... Brilliant work Harry bhai :)
Piyush Gupta,"Bhaiya, it's a humble request. 🙏
Please start a series containing class 12 boards IP content . We want to level up our marks with you. ❣️"
Yusra Khalid,"Amazing analogies, great content. Kudos :)"
Jainmiah Shaik,Good to watch your videos with an example but what about REST API ?
Palak Mishra,The best explanation I could ever ask for. Thank you!!!!!
Prachi priya,Your way of teaching is really cool it gives feel of coding🔥🔥🔥
Alisha Gupta,Tenk uzz so much😊.  Once upon a time API used to be a very confusing topic to me but one day I watched a video on API made by CodeWithHarry and after that it has always been a very interesting and easy topic for me😌
B S Mahesh Kumar,"He is the only programmer/coder who is happy on earth by programming or coding. 
Look at him how happy he is and exaggerating stuff in a language that most of his audience can reach his voice and understand it the way it is."
saamin raza,Fabulous job... Your explanations were crystal clear... Thanks 🙏
Nicetomeetu Gaming,"The way you teach is simply amazing, love you man <3"
Complex,Plz continue these type of videos which help us understand the concepts.🙏🙏🙏
Saurabh Khandelwal,Awesome bhai ! Loved your presentation and energy . Well explained ! All the best for a great future
devacius the one above all,"only youtuber who is not focused only on cp,but helps developers too . Great work sir!!!"
she DEcodes,"you are blessed with art of teaching
God bless you ❤
thank you so much😊"
طالبِ علم,"Harris bhai, jazak Allah bro, you're providing these knowledge free, may Allah give you All happiness ❤"
Saurabh Sharma,"Now that you've started java, will you please do spring framework"
Keyur Bhogayata,I really like your educational videos. You really make it easy for us to understand.
Rudranil Sadhukhan,Sir can I use API technology on other purposes ??.. please reply .. 🙏🏻🔥
muhammad atif,"Amazing ....
Great method of Teaching 💞"
Karan Singh Solanki,"Loved this video, pehli baar API smjh aayi h thankyou so much Harry bhai... By the way I'm learning and enjoying your Python Lectures to do job in Django, pr kabhi kbhi sunne me aata h ki Django is not that popular in India, so if y want a career in Python, learn Data Science, AI, ML etc. Please tell me reality on this Harry sir, Thankyou so much, Love from Jodhpur, Rajasthan 😍😍♥️"
Aryan shrivastava,You're awesome brother 👍 very helpful for beginners 🙏🙏
Mathwithpri,Really great work sir no one can provide a good knowledge like you.
Rhutvika Ekbote,The way you explain is very good .. like its  easy to understand things from real world examples
Bhagyesh Bhavasar,"Try to make some lectures on Linux / OS Base coding. (Kernel Level Programming, RTOS Coding etc.)"
